ts_iso,setting_id,benchmark,side,intent_size,applied_size,is_partial,amount_in,amount_out,fee_paid,fee_lvr_paid,rebate_paid,fee_bps_used,fee_lvr_bps,rebate_bps,floor_enforced,aomq_used,success,min_out,slippage_bps_vs_mid,pnl_quote,inventory_base,inventory_quote
2025-10-04T13:56:39.214Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49602731,150000000000000000,,,30,0,0,false,false,true,49602731,-98.960000,-0.397269,10049850000000000000000,9950397269
2025-10-04T13:56:41.714Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49113074,150000000000000000,,,30,0,0,false,false,true,49113074,-98.474504,-0.886926,10099700000000000000000,9901284195
2025-10-04T13:56:42.464Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,48630631,150000000000000000,,,30,0,0,false,false,true,48630631,-97.995214,-1.369369,10149550000000000000000,9852653564
2025-10-04T13:56:44.714Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,51093651643749107971,51093651643749107971,false,50000000,51093651643749107971,150000,,,30,0,0,false,false,true,51093651643749107971,101.447648,-1.093652,10098456348356250892029,9902503564
2025-10-04T13:56:47.214Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,50581809189989414947,50581809189989414947,false,50000000,50581809189989414947,150000,,,30,0,0,false,false,true,50581809189989414947,100.938716,-0.581809,10047874539166261477082,9952353564
2025-10-04T13:56:54.964Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,50077619653756342470,50077619653756342470,false,50000000,50077619653756342470,150000,,,30,0,0,false,false,true,50077619653756342470,100.424738,-0.077620,9997796919512505134612,10002203564
2025-10-04T13:57:06.714Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49624540,150000000000000000,,,30,0,0,false,false,true,49624540,-98.976450,-0.375460,10047646919512505134612,9952579024
2025-10-04T13:57:08.464Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49134560,150000000000000000,,,30,0,0,false,false,true,49134560,-98.491931,-0.865440,10097496919512505134612,9903444464
2025-10-04T13:57:10.214Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,50572222419250067207,50572222419250067207,false,50000000,50572222419250067207,150000,,,30,0,0,false,false,true,50572222419250067207,100.919470,-0.572222,10046924697093255067405,9953294464
2025-10-04T13:57:11.714Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,50068175857356963701,50068175857356963701,false,50000000,50068175857356963701,150000,,,30,0,0,false,false,true,50068175857356963701,100.415876,-0.068176,9996856521235898103704,10003144464
2025-10-04T13:57:18.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49633853,150000000000000000,,,30,0,0,false,false,true,49633853,-98.987836,-0.366147,10046706521235898103704,9953510611
2025-10-04T13:57:21.214Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49143736,150000000000000000,,,30,0,0,false,false,true,49143736,-98.503820,-0.856264,10096556521235898103704,9904366875
2025-10-04T13:57:23.964Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,50562826679784342199,50562826679784342199,false,50000000,50562826679784342199,150000,,,30,0,0,false,false,true,50562826679784342199,100.921135,-0.562827,10045993694556113761505,9954216875
2025-10-04T13:57:24.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49150693,150000000000000000,,,30,0,0,false,false,true,49150693,-98.509987,-0.849307,10095843694556113761505,9905066182
2025-10-04T13:57:25.214Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,50555705238746757639,50555705238746757639,false,50000000,50555705238746757639,150000,,,30,0,0,false,false,true,50555705238746757639,100.906836,-0.555705,10045287989317367003866,9954916182
2025-10-04T13:57:26.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49157582,150000000000000000,,,30,0,0,false,false,true,49157582,-98.516352,-0.842418,10095137989317367003866,9905758600
2025-10-04T13:57:26.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,48674486,150000000000000000,,,30,0,0,false,false,true,48674486,-98.029024,-1.325514,10144987989317367003866,9857084114
2025-10-04T13:57:29.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,48198475,150000000000000000,,,30,0,0,false,false,true,48198475,-97.558616,-1.801525,10194837989317367003866,9808885639
2025-10-04T13:57:43.714Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47729414,150000000000000000,,,30,0,0,false,false,true,47729414,-97.085461,-2.270586,10244687989317367003866,9761156225
2025-10-04T13:57:47.464Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47267167,150000000000000000,,,30,0,0,false,false,true,47267167,-96.609890,-2.732833,10294537989317367003866,9713889058
2025-10-04T13:57:49.714Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,46811602,150000000000000000,,,30,0,0,false,false,true,46811602,-96.153439,-3.188398,10344387989317367003866,9667077456
2025-10-04T13:57:53.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,46362592,150000000000000000,,,30,0,0,false,false,true,46362592,-95.685178,-3.637408,10394237989317367003866,9620714864
2025-10-04T13:57:54.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,45920012,150000000000000000,,,30,0,0,false,false,true,45920012,-95.237478,-4.079988,10444087989317367003866,9574794852
2025-10-04T13:58:03.464Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,54094233530007320539,54094233530007320539,false,50000000,54094233530007320539,150000,,,30,0,0,false,false,true,54094233530007320539,104.399596,-4.094234,10389993755787359683327,9624644852
2025-10-04T13:58:05.964Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,45957446,150000000000000000,,,30,0,0,false,false,true,45957446,-95.267705,-4.042554,10439843755787359683327,9578687406
2025-10-04T13:58:08.214Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,54050390966098084058,54050390966098084058,false,50000000,54050390966098084058,150000,,,30,0,0,false,false,true,54050390966098084058,104.358308,-4.050391,10385793364821261599269,9628537406
2025-10-04T13:58:08.214Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,53493601518304411086,53493601518304411086,false,50000000,53493601518304411086,150000,,,30,0,0,false,false,true,53493601518304411086,103.809028,-3.493602,10332299763302957188183,9678387406
2025-10-04T13:58:08.214Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,46470878,150000000000000000,,,30,0,0,false,false,true,46470878,-95.792619,-3.529122,10382149763302957188183,9631916528
2025-10-04T13:58:09.464Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,53456170855171897803,53456170855171897803,false,50000000,53456170855171897803,150000,,,30,0,0,false,false,true,53456170855171897803,103.779300,-3.456171,10328693592447785290380,9681766528
2025-10-04T13:58:11.464Z,calm_retail__dnmm_no_aomq,cpmm,quote_in,52908514644209796666,52908514644209796666,false,50000000,52908514644209796666,150000,,,30,0,0,false,false,true,52908514644209796666,103.236089,-2.908515,10275785077803575493714,9731616528
2025-10-04T13:58:14.714Z,calm_retail__dnmm_no_aomq,cpmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,46982204,150000000000000000,,,30,0,0,false,false,true,46982204,-96.320864,-3.017796,10325635077803575493714,9684634324
