phase,dnmm_vwap,dnmm_mid_vwap,diff_bps,dex_vwap,total_base_e18,total_quote_e18
up,993700000000000000,1000000000000000000,-63,943396226500000000,6000000000000000000000,5962200000000000000000
down,1006339941632283385,1000000000000000000,63,1799999999999999999,79496000000000000000000,80000000000000000000000
