timestamp,mid_hc_wad,bid_wad,ask_wad,spread_bps,mid_pyth_wad,conf_pyth_bps,mid_ema_wad,delta_bps,conf_total_bps,conf_spread_bps,conf_sigma_bps,conf_pyth_bps,sigma_bps,inventory_deviation_bps,fee_bps,base_reserves,quote_reserves,decision,used_fallback,pyth_fresh,ema_fresh,hysteresis_frames,rejection_duration
1759184151,46561000000000000000,46561000000000000000,46561000000000000000,0,46549225416763342891,11,0,2,0,0,0,0,0,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759184158,46568000000000000000,46568000000000000000,46568000000000000000,0,46547601536242524456,12,0,4,0,0,0,0,1,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759184163,46567000000000000000,46567000000000000000,46567000000000000000,0,46547601536242524456,12,0,4,0,0,0,0,0,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759185265,46497000000000000000,46497000000000000000,46497000000000000000,0,46499634033494632534,13,0,0,0,0,0,0,0,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759185272,46502000000000000000,46502000000000000000,46502000000000000000,0,46499634033494632534,13,0,0,0,0,0,0,1,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759185277,46514000000000000000,46514000000000000000,46514000000000000000,0,46499634033494632534,13,0,3,0,0,0,0,1,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759185282,46507000000000000000,46507000000000000000,46507000000000000000,0,46505832938145789044,12,0,0,0,0,0,0,1,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
1759185287,46508000000000000000,46508000000000000000,46508000000000000000,0,46505832938145789044,12,0,0,0,0,0,0,0,117,10,100000.0,3000000.0,VALID,false,false,false,0,0
