ts_iso,setting_id,benchmark,side,intent_size,applied_size,is_partial,amount_in,amount_out,fee_paid,fee_lvr_paid,rebate_paid,fee_bps_used,fee_lvr_bps,rebate_bps,floor_enforced,aomq_used,success,min_out,slippage_bps_vs_mid,pnl_quote,inventory_base,inventory_quote
2025-10-04T13:57:14.749Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49630552,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,19.714613,0.000000,10047411380528383095336,9952958730
2025-10-04T13:57:15.499Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,49161246,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,19.478398,0.000000,10095614698117109022978,9905431171
2025-10-04T13:57:16.999Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,48745384,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,19.268007,0.000000,10138911022600492150088,9863127130
2025-10-04T13:57:18.499Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,48358793,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,19.071917,0.000000,10179661617014886435514,9823639267
2025-10-04T13:57:20.999Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,48070272,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,18.924867,0.000000,10210395445631884588157,9794066317
2025-10-04T13:57:21.999Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47688995,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,18.730045,0.000000,10251438426694143745774,9754850173
2025-10-04T13:57:24.249Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47446920,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,18.605843,0.000000,10277754054771203734305,9729870677
2025-10-04T13:57:34.999Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47967266,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,18.872248,0.000000,10221435167878544478896,9783486978
2025-10-04T13:57:37.499Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47719596,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,18.745594,0.000000,10248126063081327867503,9758003414
2025-10-04T13:57:37.749Z,trend_router__dnmm_base,dnmm,base_in,50000000000000000000,50000000000000000000,false,50000000000000000000,47282539,150000000000000000,,15000000000000000,30,0,3,false,false,true,25,18.521372,0.000000,10295739179478310494430,9712872159
